Frames,CellNum,Area,CentroidX,CentroidY,MjrAxisLength,MnrAxisLength,Eccentricity,Orientation,ConvexArea,FilledArea,EquivDiameter,Solidity,Extent,Perimeter,PerimOld,ConvexPerim,FibLen,InscribeR,BlebLen,CenterX,CenterY
5,22,1817,242.225646670336,501.671436433682,79.3552677706144,54.6219907079877,0.7254051143749,31.5370082535206,4000,1817,48.0986096762036,0.45425,0.248904109589041,337.665,357.504617357996,269.798,118.397026062012,11.4017543792725,60.3847923278809,242,502
1,23,2095,390.290692124105,193.826730310263,170.09502336745,24.8925495264791,0.989233618741961,-56.9025552305615,3692,2095,51.6472346425263,0.567443120260022,0.162340178225494,401.059,423.872149726143,344.5,180.237686157227,10.8166542053223,127.438667297363,404,213
2,23,2301,390.206866579748,198.456757931334,170.042527000755,26.4572907621358,0.987821374285775,-56.8895256378334,3893,2301,54.1269266856674,0.591060878499872,0.16494623655914,422.322,446.014285349874,358.361,187.30876159668,11.1803398132324,143.68132019043,409,226
3,23,2385,387.774423480084,202.546331236897,155.571734034248,27.4912157278177,0.984262805406526,-57.2283107092132,3916,2385,55.1060460765728,0.609039836567926,0.194980379332897,402.687,426.315800540039,333.922,173.237686157227,12.0415945053101,130.024459838867,404,227
4,23,2723,388.199045170768,204.420492104297,194.795549628481,30.9913279545015,0.987263005462002,-58.7323225206442,5448,2723,58.8815020215504,0.49981644640235,0.14367876741241,498.001,528.884343034963,422.577,225.450912475586,11.1803398132324,150.580825805664,402,223
5,23,2874,388.762700069589,217.760960334029,192.538870265933,43.0937652259565,0.974630837571703,-65.4352387944353,6734,2874,60.4920693278785,0.426789426789427,0.156749386419416,571.368,604.281312654634,440.191,244.036697387695,12.2065553665161,141.024459838867,399,227
6,23,3024,390.585978835979,214.306547619048,184.078863698576,38.0147682534788,0.97844375371062,-59.7010860593474,6856,3024,62.0505953499169,0.441073512252042,0.162092624356775,509.829,537.612265096321,419.594,215.622497558594,13.6014709472656,151.509750366211,399,229
7,23,2839,398.339203945051,224.793589292004,117.583711387265,48.3044382820371,0.911721462770449,-64.7865635179126,6012,2839,60.1226003055683,0.472222222222222,0.276436222005842,442.608,466.114790413262,322.4,156.024459838867,15,74.0832901000977,399,224
8,23,3005,403.357737104825,226.815640599002,107.496949976142,58.9641966992034,0.836137619556942,-65.5081347562621,6719,3005,61.8553541088333,0.447239172495907,0.27518315018315,467.402,493.913780286486,331.935,158.196029663086,15.6204996109009,65.2548522949219,403,224
9,23,3461,402.820861022826,219.171048829818,164.741886009231,65.4424018535664,0.91771388055698,-55.2788907393291,10108,3461,66.3828446537838,0.342402057776019,0.145481294661623,638.109,673.636651713961,468.238,228.593063354492,16,139.580825805664,414,228
10,23,3039,404.889108259296,222.177360974005,159.297960403699,53.4308364767615,0.942070672613251,-55.1683456724692,8177,3039,62.2043003051249,0.371652195181607,0.148243902439024,563.371,594.624458405141,425.828,208.208267211914,16.1245155334473,125.095520019531,416,231
1,24,1780,573.896629213483,823.513483146067,100.636331071778,30.0619449544943,0.954341234524431,-10.9539158264576,2554,1780,47.6063692128332,0.696945967110415,0.410895660203139,285.686,301.663996924429,252.966,124.669082641602,14.4222049713135,91.6985015869141,585,825
2,24,1572,574.960559796438,825.106234096692,81.4646510190455,28.2665850683521,0.937872617188119,-10.2978791591513,1885,1572,44.7384908588083,0.83395225464191,0.508080155138979,226.794,239.379725676967,201.585,97.284294128418,13.6014709472656,59.5563583374023,582,826
3,24,1607,570.329807093964,825.431860609832,84.9870913394944,30.2615485075723,0.934458411059154,-12.1741593637316,1970,1607,45.2337921071118,0.815736040609137,0.475162625665287,224.378,236.994949366117,210.491,102.012222290039,14.3178215026855,57.9705696105957,580,826
4,24,1575,568.456507936508,826.062222222222,84.9244418103452,28.4233023314691,0.942328535975692,-15.7562074550278,1979,1575,44.7811599108138,0.795856493178373,0.462690951821387,218.259,230.308657865102,208.606,103.84065246582,14.1421356201172,57.3847846984863,577,827
5,24,1670,564.968263473054,824.017964071856,92.5444424692526,28.4958921155098,0.951413625199626,-12.7648423961805,2210,1670,46.1119294728351,0.755656108597285,0.47823596792669,229.175,242.066017177982,216.992,106.183792114258,14.1421356201172,58.3847846984863,573,824
6,24,1693,555.759007678677,824.291199054932,108.30230171434,23.8053444971803,0.97554391814858,-12.8259969988882,2201,1693,46.4283808595199,0.769195820081781,0.447883597883598,245.095,259.137084989848,231.564,118.254867553711,11.7046995162964,65.6274337768555,566,825
7,24,1924,548.89501039501,822.337837837838,122.173886382301,25.5541865097056,0.977880912694573,-7.93368737288975,2665,1924,49.4945742892133,0.721951219512195,0.478012422360248,277.489,291.965512114594,255.662,125.012222290039,13,79.2132186889648,568,825
1,25,1347,584.287305122494,226.73422420193,53.2415658757955,34.2833923087211,0.7650915114305,-56.8552792379491,1746,1347,41.4132064293296,0.771477663230241,0.530942057548285,189.579,201.622366364086,154.605,65.7695770263672,14.2126703262329,32.5563468933105,581,224
2,25,1520,584.567105263158,232.414473684211,57.8685547246004,42.0433680499705,0.687132425753333,-63.7354788393494,2113,1520,43.9923187385872,0.719356365357312,0.477987421383648,241.639,256.107647738325,182.473,80.1837921142578,14.7648229598999,52.7989959716797,581,228
3,25,1549,581.542285345384,232.886378308586,59.616868752549,39.7311124816816,0.745557970545813,-81.3754328273808,2193,1549,44.4099994910467,0.706338349293206,0.471824550715809,237.347,249.622366364087,184.558,84.3553619384766,15.65247631073,53.798999786377,580,228
4,25,1630,586.894478527607,230.296319018405,74.2983799939121,36.9621926599521,0.867473635464222,78.5901571488731,2267,1630,45.5563437725013,0.719011910013233,0.412867274569402,233.832,247.03657992646,198.692,98.4264373779297,13.8924436569214,41.1421356201172,581,230
5,25,1674,587.42054958184,228.359020310633,82.9440005242558,39.6740354812944,0.878183901921183,83.8822728496344,2783,1674,46.1671203118265,0.601509162773985,0.3348,266.88,281.42135623731,230.796,111.598007202148,13.9283885955811,53.970573425293,583,225
6,25,1935,585.112144702842,230.075452196382,87.9059949109724,51.1299891312605,0.813443500412374,-88.0042952286107,3755,1935,49.6358592054428,0.515312916111851,0.283143107989464,321.497,338.776695296638,259.964,116.183792114258,13.4536237716675,59.7279281616211,584,225
7,25,1986,578.81419939577,232.555387713998,90.5892769853357,52.7045250348513,0.813334385716913,-73.03504973553,4161,1986,50.2857209935786,0.477289113193944,0.285426846795056,333.818,353.462986797653,265.828,120.42643737793,14.8660688400269,60.3847885131836,580,227
8,25,1884,577.478237791932,233.62101910828,93.9326295846215,59.3155124722998,0.775401393803429,-73.5081966920272,4211,1884,48.9773754123376,0.447399667537402,0.24966869864829,332.762,351.646752981727,274.106,122.254867553711,13.416407585144,60.798999786377,576,228
9,25,1917,579.534689619197,233.181011997913,97.6355847743835,63.5683884464027,0.759010765484581,-72.2492185795227,4702,1917,49.4044553381302,0.407698851552531,0.236141906873614,335.755,354.090403795622,287.702,128.497512817383,13.4536237716675,64.6274261474609,578,227
10,25,1994,579.827482447342,236.780341023069,101.49631410211,69.0079359784459,0.733299432942722,-75.3645393923058,5511,1994,50.3868996089451,0.361821810923607,0.214201310559673,387.088,408.960461480712,306.914,135.911727905273,12.806248664856,64.3847885131836,576,231
1,26,1062,770.798493408663,134.074387947269,80.9868772613337,19.7550804124801,0.96979299214282,73.3021397290359,1446,1062,36.7720056090057,0.734439834024896,0.318918918918919,208.269,219.722871427475,197.045,102.254867553711,8,48.2132110595703,774,123
2,26,1081,767.936170212766,133.813135985199,84.9632863031052,20.7961933711853,0.969581973854116,74.8612218632728,1575,1081,37.0994871643627,0.686349206349206,0.30331088664422,227.563,240.79393923934,212.717,112.911727905273,7.21110248565674,60.2132110595703,770,125
3,26,965,762.60829015544,135.708808290155,73.1497636779823,19.1199167930306,0.965235862386888,74.8051396458634,1261,965,35.0524772401243,0.765265662172879,0.453477443609023,178.636,188.852813742386,164.196,84.9411468505859,8.24621105194092,43.9705657958984,765,126
4,26,893,760.43673012318,134.581187010078,70.9404457163049,20.8224412092711,0.955952925882668,81.1296046308187,1283,893,33.7194738014771,0.696024941543258,0.418855534709193,191.438,202.267027304759,176.262,91.3553619384766,8.06225776672363,46.5563583374023,761,127
5,26,792,760.387626262626,127.258838383838,43.045263784081,29.2290320334278,0.734110381306206,71.35455843091,1206,792,31.7554045704074,0.656716417910448,0.382239382239382,161.914,171.438600180013,136.617,60.2132110595703,9.48683261871338,21.4852809906006,759,126
6,26,761,759.35085413929,125.566360052562,35.3873812689706,33.417399027099,0.328997074859203,-37.8588743099542,1164,761,31.1277254797626,0.653780068728522,0.412466124661247,162.295,171.095454429505,130.736,54.4558563232422,9.43398094177246,18.4852809906006,758,125
7,26,782,761.191815856777,127.728900255754,36.038174841002,32.7350611967064,0.418223757910332,-64.4141957507295,1158,782,31.5542916888162,0.675302245250432,0.428728070175439,160.318,169.438600180013,125.616,52.3847846984863,10.7703294754028,16.828426361084,759,127
8,26,731,765.642954856361,128.488372093023,40.1197260461055,27.7664845813221,0.721810657436785,83.0893371376106,993,731,30.508000708034,0.736153071500504,0.462365591397849,139.378,145.882250993909,122.35,54.1421432495117,10.0498752593994,20.6568546295166,763,127
9,26,832,765.637019230769,129.877403846154,48.3794557024921,28.9551415306298,0.801122229941958,78.9863783580948,1259,832,32.5474315610258,0.660841938046068,0.42020202020202,169.985,179.539105243401,146.027,69.284294128418,10.2956304550171,27.656852722168,763,129
10,26,770,765.253246753247,126.106493506494,43.8223565468039,25.266997758998,0.817042254115035,70.0335433152997,1036,770,31.311251163856,0.743243243243243,0.506912442396313,145.903,154.367532368147,127.278,60.8700675964355,8.9442720413208,31.3847732543945,761,132
1,27,879,64.8896473265074,825.689419795222,49.7958323259108,41.8664898981259,0.541403449564168,28.3038592113707,1769,879,33.4541112544065,0.496890898812889,0.382173913043478,215.192,227.521861300698,158.365,70.4974975585938,8.9442720413208,38.7989921569824,68,827
2,27,909,59.4026402640264,829.191419141914,59.1400654824699,37.3447455870441,0.775406251655699,23.0294122046713,1851,909,34.0202108483217,0.491085899513776,0.252219755826859,224.529,236.936074863071,184.466,80.3553695678711,9.48683261871338,40.3137130737305,61,828
3,27,1147,51.2048823016565,830.38535309503,50.47221948902,40.0003023721662,0.609844404166231,11.3870731799972,1787,1147,38.2152555638613,0.641857862339116,0.440984236831988,202.099,214.066017177982,162.5,67.5269241333008,10,58.9411430358887,60,829
4,27,1284,49.4493769470405,834.191588785047,63.8301658016005,40.1382037454823,0.777544329262001,17.8301537728316,2186,1284,40.4331494622908,0.587374199451052,0.357859531772575,240.085,254.007142674937,185.566,84.0832977294922,10,34.7279205322266,48,833
5,27,1234,66.4837925445705,825.975688816856,64.7367942751735,36.2808443096902,0.828197586794361,-8.04521204222279,2528,1234,39.6380826756693,0.488132911392405,0.372584541062802,259.776,274.007142674937,191.199,85.9117202758789,10,45.2132110595703,62,828
6,27,1100,79.1545454545455,825.229090909091,52.1655574118091,38.114031740391,0.682767240387884,-5.35715318849449,1872,1100,37.4241031850956,0.587606837606838,0.323339212228101,215.315,227.965512114594,164.912,77.6985092163086,10.2956304550171,56.3847885131836,72,826
7,27,1240,82.6120967741935,820.416129032258,52.7056854125645,48.8285933995412,0.376445346342558,25.1801208068062,1951,1240,39.734330691124,0.635571501793952,0.363636363636364,234.155,247.521861300698,173.99,85.2842864990234,9.43398094177246,42.3137092590332,75,825
8,27,1323,78.6621315192744,816.529856386999,69.1772484006822,59.8276889637295,0.502036688265555,64.460033710378,3088,1323,41.0426109998453,0.428432642487047,0.209335443037975,324.729,343.80613254816,238.927,110.112724304199,10,51.7279281616211,72,823
9,27,1170,74.908547008547,819.402564102564,54.094165166905,43.3548331716488,0.598035412203514,10.8306074532353,1941,1170,38.5965058954841,0.602782071097372,0.341107871720117,234.155,247.521861300698,181.325,81.7695846557617,10.1980390548706,39.8994979858398,69,814
10,27,1181,71.878916172735,813.375952582557,73.8774757263571,28.3110156455176,0.923658840654058,67.157611984491,2151,1181,38.777518001185,0.549046954904695,0.277882352941176,260.827,274.492424049175,200.208,95.0122299194336,9.48683261871338,55.1421432495117,69,821
1,28,2197,231.980427856167,506.102867546655,130.517415538092,30.2838261693869,0.972708867266348,-88.9294501607218,3691,2197,52.8895762866669,0.595231644540775,0.380038055699706,369.967,389.948268171891,304.588,153.083297729492,10.4403066635132,97.7990036010742,236,487
2,28,1701,231.243974132863,522.048794826573,91.9299923732498,26.9212073756425,0.95616003106804,81.3014830496961,2248,1701,46.5379465124377,0.756672597864769,0.568516042780749,231.393,243.279220613579,204.636,100.598007202148,10.2956304550171,40.9705657958984,232,522
3,28,1986,225.245216515609,543.932024169184,103.62603297723,30.2981657342828,0.956302260482104,81.7611739280863,2765,1986,50.2857209935786,0.718264014466546,0.447297297297297,288.796,304.735064736295,243.978,123.083297729492,11.1803398132324,75.8700714111328,225,530
4,28,1999,224.67883941971,534.782391195598,87.5222123027023,35.193895799816,0.915589663986369,71.892182924998,2668,1999,50.4500332004409,0.749250374812594,0.415938410320433,266.998,280.534054609518,218.267,106.598007202148,12.2065553665161,50.3847846984863,220,540
5,28,1812,228.842163355408,515.551324503311,79.6205381212838,34.3813990171942,0.901961858713447,81.0809767762123,2525,1812,48.0323854816739,0.717623762376238,0.433908045977011,249.819,264.249783362056,207.549,96.7695770263672,13.0384044647217,59.970573425293,233,505
6,28,2093,229.83850931677,512.896321070234,99.8340759390406,32.6333803030696,0.945067177495708,73.5662282740892,3057,2093,51.6225761380687,0.684658161596336,0.376303487953973,291.51,307.362481734264,245.426,122.154373168945,12.2065553665161,48.9411354064941,226,515
7,28,1751,217.123358081097,536.664191890348,77.8912686709592,36.9875311913965,0.880060772968211,-79.2837560796368,2574,1751,47.2169719786357,0.68026418026418,0.429166666666667,252.333,266.835569799683,205.77,101.598007202148,14.3178215026855,57.3847808837891,219,527
8,28,2101,211.996192289386,534.184198000952,81.6971352153596,47.0632717821821,0.817400337289368,-71.2275551655177,3750,2101,51.7211396190047,0.560266666666667,0.290715372907154,367.703,387.889393668846,251.697,120.183792114258,14.7648229598999,73.2842864990234,213,525
9,28,2220,205.084684684685,525.623873873874,88.2859661230935,46.8106690488785,0.847862339122585,-52.6862732312392,3661,2220,53.165701249133,0.606391696257853,0.3714859437751,361.064,379.931024229189,244.881,112.74015045166,14.1421356201172,49.7989959716797,208,522
1,30,953,314.656873032529,920.10388247639,41.9355984836095,31.4640496857991,0.661103724860712,-0.0687966942943761,1098,953,34.8338525881449,0.867941712204007,0.709077380952381,135.417,142.367532368147,119.024,46.2132110595703,11,35.6274185180664,308,921
2,30,829,299.680337756333,924.915560916767,38.4767637605903,29.158571257003,0.652460350447614,50.8804023264248,927,829,32.4886993058425,0.89428263214671,0.641640866873065,120.092,127.296464556282,112.508,47.8700637817383,12,14.4852809906006,300,923
3,30,784,295.572704081633,924.360969387755,37.1206029829222,27.7004196064543,0.665690861802475,-60.1490964715064,845,784,31.5946166786744,0.927810650887574,0.702508960573477,111.995,118.568542494924,105.114,43.6984939575195,11.4017543792725,7.6568546295166,295,924
